epoch,num_nodes,num_active,overlay_energy,pow_energy,blocks_produced,cum_overlay_energy,cum_pow_energy
1,100,54,10800.000,1000.000,1,10800.000,1000.000
2,100,59,11800.000,1000.000,1,22600.000,2000.000
3,100,79,15800.000,1000.000,1,38400.000,3000.000
4,100,58,0.000,0.000,0,38400.000,3000.000
5,100,96,19200.000,1000.000,1,57600.000,4000.000
6,100,76,0.000,0.000,0,57600.000,4000.000
7,100,81,0.000,0.000,0,57600.000,4000.000
8,100,74,0.000,0.000,0,57600.000,4000.000
9,100,33,6600.000,1000.000,1,64200.000,5000.000
10,100,98,0.000,0.000,0,64200.000,5000.000
11,100,56,0.000,0.000,0,64200.000,5000.000
12,100,53,0.000,0.000,0,64200.000,5000.000
13,100,82,16400.000,1000.000,1,80600.000,6000.000
14,100,30,6000.000,1000.000,1,86600.000,7000.000
15,100,73,0.000,0.000,0,86600.000,7000.000
16,100,21,4200.000,1000.000,1,90800.000,8000.000
17,100,58,0.000,0.000,0,90800.000,8000.000
18,100,27,0.000,0.000,0,90800.000,8000.000
19,100,61,12200.000,1000.000,1,103000.000,9000.000
20,100,44,8800.000,1000.000,1,111800.000,10000.000
21,100,69,0.000,0.000,0,111800.000,10000.000
22,100,80,16000.000,1000.000,1,127800.000,11000.000
23,100,10,0.000,0.000,0,127800.000,11000.000
24,100,30,6000.000,1000.000,1,133800.000,12000.000
25,100,70,14000.000,1000.000,1,147800.000,13000.000
26,100,44,8800.000,1000.000,1,156600.000,14000.000
27,100,45,9000.000,1000.000,1,165600.000,15000.000
28,100,70,14000.000,1000.000,1,179600.000,16000.000
29,100,4,800.000,1000.000,1,180400.000,17000.000
30,100,18,0.000,0.000,0,180400.000,17000.000
31,100,26,5200.000,1000.000,1,185600.000,18000.000
32,100,50,0.000,0.000,0,185600.000,18000.000
33,100,45,0.000,0.000,0,185600.000,18000.000
34,100,1,200.000,1000.000,1,185800.000,19000.000
35,100,82,0.000,0.000,0,185800.000,19000.000
36,100,13,0.000,0.000,0,185800.000,19000.000
37,100,34,0.000,0.000,0,185800.000,19000.000
38,100,2,400.000,1000.000,1,186200.000,20000.000
39,100,47,0.000,0.000,0,186200.000,20000.000
40,100,14,2800.000,1000.000,1,189000.000,21000.000
41,100,81,16200.000,1000.000,1,205200.000,22000.000
42,100,33,6600.000,1000.000,1,211800.000,23000.000
43,100,55,0.000,0.000,0,211800.000,23000.000
44,100,6,1200.000,1000.000,1,213000.000,24000.000
45,100,62,12400.000,1000.000,1,225400.000,25000.000
46,100,8,1600.000,1000.000,1,227000.000,26000.000
47,100,36,0.000,0.000,0,227000.000,26000.000
48,100,13,2600.000,1000.000,1,229600.000,27000.000
49,100,5,1000.000,1000.000,1,230600.000,28000.000
50,100,5,1000.000,1000.000,1,231600.000,29000.000
51,100,30,6000.000,1000.000,1,237600.000,30000.000
52,100,29,0.000,0.000,0,237600.000,30000.000
53,100,73,14600.000,1000.000,1,252200.000,31000.000
54,100,32,0.000,0.000,0,252200.000,31000.000
55,100,74,14800.000,1000.000,1,267000.000,32000.000
56,100,89,17800.000,1000.000,1,284800.000,33000.000
57,100,65,13000.000,1000.000,1,297800.000,34000.000
58,100,33,0.000,0.000,0,297800.000,34000.000
59,100,57,0.000,0.000,0,297800.000,34000.000
60,100,59,11800.000,1000.000,1,309600.000,35000.000
61,100,29,5800.000,1000.000,1,315400.000,36000.000
62,100,31,0.000,0.000,0,315400.000,36000.000
63,100,100,0.000,0.000,0,315400.000,36000.000
64,100,12,2400.000,1000.000,1,317800.000,37000.000
65,100,85,0.000,0.000,0,317800.000,37000.000
66,100,25,5000.000,1000.000,1,322800.000,38000.000
67,100,13,2600.000,1000.000,1,325400.000,39000.000
68,100,4,800.000,1000.000,1,326200.000,40000.000
69,100,19,0.000,0.000,0,326200.000,40000.000
70,100,95,0.000,0.000,0,326200.000,40000.000
71,100,36,7200.000,1000.000,1,333400.000,41000.000
72,100,69,13800.000,1000.000,1,347200.000,42000.000
73,100,71,14200.000,1000.000,1,361400.000,43000.000
74,100,34,6800.000,1000.000,1,368200.000,44000.000
75,100,100,0.000,0.000,0,368200.000,44000.000
76,100,69,13800.000,1000.000,1,382000.000,45000.000
77,100,93,18600.000,1000.000,1,400600.000,46000.000
78,100,59,0.000,0.000,0,400600.000,46000.000
79,100,5,0.000,0.000,0,400600.000,46000.000
80,100,71,0.000,0.000,0,400600.000,46000.000
81,100,60,0.000,0.000,0,400600.000,46000.000
82,100,77,0.000,0.000,0,400600.000,46000.000
83,100,72,0.000,0.000,0,400600.000,46000.000
84,100,91,18200.000,1000.000,1,418800.000,47000.000
85,100,38,7600.000,1000.000,1,426400.000,48000.000
86,100,42,0.000,0.000,0,426400.000,48000.000
87,100,30,0.000,0.000,0,426400.000,48000.000
88,100,45,0.000,0.000,0,426400.000,48000.000
89,100,62,0.000,0.000,0,426400.000,48000.000
90,100,68,13600.000,1000.000,1,440000.000,49000.000
91,100,49,0.000,0.000,0,440000.000,49000.000
92,100,56,11200.000,1000.000,1,451200.000,50000.000
93,100,71,14200.000,1000.000,1,465400.000,51000.000
94,100,19,3800.000,1000.000,1,469200.000,52000.000
95,100,28,5600.000,1000.000,1,474800.000,53000.000
96,100,50,0.000,0.000,0,474800.000,53000.000
97,100,96,19200.000,1000.000,1,494000.000,54000.000
98,100,54,0.000,0.000,0,494000.000,54000.000
99,100,96,19200.000,1000.000,1,513200.000,55000.000
100,100,91,0.000,0.000,0,513200.000,55000.000
101,100,45,9000.000,1000.000,1,522200.000,56000.000
102,100,15,3000.000,1000.000,1,525200.000,57000.000
103,100,38,0.000,0.000,0,525200.000,57000.000
104,100,14,0.000,0.000,0,525200.000,57000.000
105,100,91,0.000,0.000,0,525200.000,57000.000
106,100,72,14400.000,1000.000,1,539600.000,58000.000
107,100,38,7600.000,1000.000,1,547200.000,59000.000
108,100,48,9600.000,1000.000,1,556800.000,60000.000
109,100,55,0.000,0.000,0,556800.000,60000.000
110,100,16,0.000,0.000,0,556800.000,60000.000
111,100,24,0.000,0.000,0,556800.000,60000.000
112,100,12,2400.000,1000.000,1,559200.000,61000.000
113,100,78,15600.000,1000.000,1,574800.000,62000.000
114,100,47,0.000,0.000,0,574800.000,62000.000
115,100,3,600.000,1000.000,1,575400.000,63000.000
116,100,50,0.000,0.000,0,575400.000,63000.000
117,100,51,0.000,0.000,0,575400.000,63000.000
118,100,40,0.000,0.000,0,575400.000,63000.000
119,100,27,5400.000,1000.000,1,580800.000,64000.000
120,100,80,0.000,0.000,0,580800.000,64000.000
121,100,41,0.000,0.000,0,580800.000,64000.000
122,100,61,0.000,0.000,0,580800.000,64000.000
123,100,42,0.000,0.000,0,580800.000,64000.000
124,100,67,13400.000,1000.000,1,594200.000,65000.000
125,100,71,14200.000,1000.000,1,608400.000,66000.000
126,100,1,200.000,1000.000,1,608600.000,67000.000
127,100,71,0.000,0.000,0,608600.000,67000.000
128,100,59,11800.000,1000.000,1,620400.000,68000.000
129,100,82,0.000,0.000,0,620400.000,68000.000
130,100,61,0.000,0.000,0,620400.000,68000.000
131,100,100,0.000,0.000,0,620400.000,68000.000
132,100,82,16400.000,1000.000,1,636800.000,69000.000
133,100,81,0.000,0.000,0,636800.000,69000.000
134,100,13,2600.000,1000.000,1,639400.000,70000.000
135,100,40,8000.000,1000.000,1,647400.000,71000.000
136,100,31,6200.000,1000.000,1,653600.000,72000.000
137,100,48,0.000,0.000,0,653600.000,72000.000
138,100,11,2200.000,1000.000,1,655800.000,73000.000
139,100,27,0.000,0.000,0,655800.000,73000.000
140,100,51,10200.000,1000.000,1,666000.000,74000.000
141,100,36,7200.000,1000.000,1,673200.000,75000.000
142,100,9,0.000,0.000,0,673200.000,75000.000
143,100,34,0.000,0.000,0,673200.000,75000.000
144,100,77,0.000,0.000,0,673200.000,75000.000
145,100,9,0.000,0.000,0,673200.000,75000.000
146,100,56,0.000,0.000,0,673200.000,75000.000
147,100,6,0.000,0.000,0,673200.000,75000.000
148,100,18,0.000,0.000,0,673200.000,75000.000
149,100,18,3600.000,1000.000,1,676800.000,76000.000
150,100,13,2600.000,1000.000,1,679400.000,77000.000
151,100,50,0.000,0.000,0,679400.000,77000.000
152,100,96,19200.000,1000.000,1,698600.000,78000.000
153,100,97,19400.000,1000.000,1,718000.000,79000.000
154,100,57,11400.000,1000.000,1,729400.000,80000.000
155,100,49,0.000,0.000,0,729400.000,80000.000
156,100,96,0.000,0.000,0,729400.000,80000.000
157,100,66,0.000,0.000,0,729400.000,80000.000
158,100,88,0.000,0.000,0,729400.000,80000.000
159,100,53,0.000,0.000,0,729400.000,80000.000
160,100,59,0.000,0.000,0,729400.000,80000.000
161,100,96,0.000,0.000,0,729400.000,80000.000
162,100,52,0.000,0.000,0,729400.000,80000.000
163,100,86,17200.000,1000.000,1,746600.000,81000.000
164,100,29,0.000,0.000,0,746600.000,81000.000
165,100,73,14600.000,1000.000,1,761200.000,82000.000
166,100,36,7200.000,1000.000,1,768400.000,83000.000
167,100,76,0.000,0.000,0,768400.000,83000.000
168,100,94,18800.000,1000.000,1,787200.000,84000.000
169,100,12,0.000,0.000,0,787200.000,84000.000
170,100,12,0.000,0.000,0,787200.000,84000.000
171,100,49,0.000,0.000,0,787200.000,84000.000
172,100,60,0.000,0.000,0,787200.000,84000.000
173,100,40,8000.000,1000.000,1,795200.000,85000.000
174,100,76,15200.000,1000.000,1,810400.000,86000.000
175,100,21,4200.000,1000.000,1,814600.000,87000.000
176,100,46,9200.000,1000.000,1,823800.000,88000.000
177,100,38,7600.000,1000.000,1,831400.000,89000.000
178,100,86,0.000,0.000,0,831400.000,89000.000
179,100,36,7200.000,1000.000,1,838600.000,90000.000
180,100,93,0.000,0.000,0,838600.000,90000.000
181,100,66,0.000,0.000,0,838600.000,90000.000
182,100,87,0.000,0.000,0,838600.000,90000.000
183,100,43,8600.000,1000.000,1,847200.000,91000.000
184,100,96,19200.000,1000.000,1,866400.000,92000.000
185,100,84,0.000,0.000,0,866400.000,92000.000
186,100,33,0.000,0.000,0,866400.000,92000.000
187,100,51,0.000,0.000,0,866400.000,92000.000
188,100,64,0.000,0.000,0,866400.000,92000.000
189,100,89,0.000,0.000,0,866400.000,92000.000
190,100,31,6200.000,1000.000,1,872600.000,93000.000
191,100,77,15400.000,1000.000,1,888000.000,94000.000
192,100,16,0.000,0.000,0,888000.000,94000.000
193,100,16,0.000,0.000,0,888000.000,94000.000
194,100,74,0.000,0.000,0,888000.000,94000.000
195,100,62,0.000,0.000,0,888000.000,94000.000
196,100,8,1600.000,1000.000,1,889600.000,95000.000
197,100,89,17800.000,1000.000,1,907400.000,96000.000
198,100,92,0.000,0.000,0,907400.000,96000.000
199,100,1,0.000,0.000,0,907400.000,96000.000
200,100,15,0.000,0.000,0,907400.000,96000.000
