epoch,num_nodes,num_active,overlay_energy,pow_energy,blocks_produced,cum_overlay_energy,cum_pow_energy,overlay_vs_pow_ratio,cum_overlay_vs_pow_ratio,overlay_vs_pow_ratio_smooth_5,overlay_vs_pow_ratio_smooth_10,overlay_vs_pow_ratio_smooth_20
1,100,54,10800.0,1000.0,1,10800.0,1000.0,10.8,10.8,12.800000000000002,14.4,12.84
2,100,59,11800.0,1000.0,1,22600.0,2000.0,11.8,11.3,12.800000000000002,14.4,12.84
3,100,79,15800.0,1000.0,1,38400.0,3000.0,15.8,12.8,14.4,14.4,12.84
4,100,58,0.0,0.0,0,38400.0,3000.0,,12.8,15.6,14.4,13.433333333333332
5,100,96,19200.0,1000.0,1,57600.0,4000.0,19.2,14.4,17.5,12.84,12.37142857142857
6,100,76,0.0,0.0,0,57600.0,4000.0,,14.4,19.2,12.84,12.37142857142857
7,100,81,0.0,0.0,0,57600.0,4000.0,,14.4,12.899999999999999,13.350000000000001,11.35
8,100,74,0.0,0.0,0,57600.0,4000.0,,14.4,6.6,13.866666666666667,11.35
9,100,33,6600.0,1000.0,1,64200.0,5000.0,6.6,12.84,6.6,14.066666666666668,11.35
10,100,98,0.0,0.0,0,64200.0,5000.0,,12.84,6.6,12.05,11.444444444444445
11,100,56,0.0,0.0,0,64200.0,5000.0,,12.84,11.499999999999998,9.666666666666668,11.18
12,100,53,0.0,0.0,0,64200.0,5000.0,,12.84,11.2,8.3,11.222222222222221
13,100,82,16400.0,1000.0,1,80600.0,6000.0,16.4,13.433333333333334,11.2,8.3,11.688888888888888
14,100,30,6000.0,1000.0,1,86600.0,7000.0,6.0,12.371428571428572,8.866666666666665,8.3,11.174999999999999
15,100,73,0.0,0.0,0,86600.0,7000.0,,12.371428571428572,8.866666666666665,9.7,10.6
16,100,21,4200.0,1000.0,1,90800.0,8000.0,4.2,11.35,5.1,9.52,10.02222222222222
17,100,58,0.0,0.0,0,90800.0,8000.0,,11.35,8.2,9.52,9.9
18,100,27,0.0,0.0,0,90800.0,8000.0,,11.35,8.4,10.6,9.818181818181818
19,100,61,12200.0,1000.0,1,103000.0,9000.0,12.2,11.444444444444445,10.5,9.44,10.166666666666666
20,100,44,8800.0,1000.0,1,111800.0,10000.0,8.8,11.18,12.333333333333334,9.440000000000001,9.683333333333334
21,100,69,0.0,0.0,0,111800.0,10000.0,,11.18,12.333333333333334,10.200000000000001,9.683333333333334
22,100,80,16000.0,1000.0,1,127800.0,11000.0,16.0,11.618181818181819,10.266666666666667,10.966666666666667,9.338461538461539
23,100,10,0.0,0.0,0,127800.0,11000.0,,11.618181818181819,12.0,10.685714285714285,9.338461538461539
24,100,30,6000.0,1000.0,1,133800.0,12000.0,6.0,11.15,11.2,11.1,8.75
25,100,70,14000.0,1000.0,1,147800.0,13000.0,14.0,11.36923076923077,9.45,9.674999999999999,8.266666666666666
26,100,44,8800.0,1000.0,1,156600.0,14000.0,8.8,11.185714285714285,10.36,9.799999999999999,8.266666666666666
27,100,45,9000.0,1000.0,1,165600.0,15000.0,9.0,11.04,9.32,9.225,8.636363636363637
28,100,70,14000.0,1000.0,1,179600.0,16000.0,14.0,11.225,8.15,8.257142857142856,8.636363636363637
29,100,4,800.0,1000.0,1,180400.0,17000.0,0.8,10.611764705882353,7.25,8.257142857142856,7.95
30,100,18,0.0,0.0,0,180400.0,17000.0,,10.611764705882353,6.666666666666667,7.428571428571429,7.5636363636363635
31,100,26,5200.0,1000.0,1,185600.0,18000.0,5.2,10.311111111111112,3.0,6.333333333333333,7.0181818181818185
32,100,50,0.0,0.0,0,185600.0,18000.0,,10.311111111111112,2.7,5.840000000000001,7.783333333333334
33,100,45,0.0,0.0,0,185600.0,18000.0,,10.311111111111112,2.7,5.050000000000001,7.0
34,100,1,200.0,1000.0,1,185800.0,19000.0,0.2,9.778947368421052,0.2,1.65,7.0
35,100,82,0.0,0.0,0,185800.0,19000.0,,9.778947368421052,0.2,1.9333333333333333,6.6000000000000005
36,100,13,0.0,0.0,0,185800.0,19000.0,,9.778947368421052,0.30000000000000004,2.15,6.466666666666666
37,100,34,0.0,0.0,0,185800.0,19000.0,,9.778947368421052,0.4,4.8999999999999995,5.866666666666666
38,100,2,400.0,1000.0,1,186200.0,20000.0,0.4,9.31,1.5999999999999999,5.239999999999999,5.581818181818182
39,100,47,0.0,0.0,0,186200.0,20000.0,,9.31,6.466666666666666,5.239999999999999,4.545454545454546
40,100,14,2800.0,1000.0,1,189000.0,21000.0,2.8,9.0,6.5,5.4399999999999995,4.5636363636363635
41,100,81,16200.0,1000.0,1,205200.0,22000.0,16.2,9.327272727272728,8.533333333333333,6.599999999999999,4.266666666666667
42,100,33,6600.0,1000.0,1,211800.0,23000.0,6.6,9.208695652173914,6.7,5.885714285714285,4.333333333333333
43,100,55,0.0,0.0,0,211800.0,23000.0,,9.208695652173914,9.1,5.885714285714285,4.333333333333333
44,100,6,1200.0,1000.0,1,213000.0,24000.0,1.2,8.875,5.45,6.2,5.123076923076923
45,100,62,12400.0,1000.0,1,225400.0,25000.0,12.4,9.016,5.066666666666667,5.55,5.533333333333332
46,100,8,1600.0,1000.0,1,227000.0,26000.0,1.6,8.73076923076923,4.45,5.324999999999999,6.246153846153845
47,100,36,0.0,0.0,0,227000.0,26000.0,,8.73076923076923,4.4,4.05,7.071428571428571
48,100,13,2600.0,1000.0,1,229600.0,27000.0,2.6,8.503703703703703,1.55,3.6857142857142855,7.466666666666667
49,100,5,1000.0,1000.0,1,230600.0,28000.0,1.0,8.235714285714286,2.65,5.05,7.971428571428572
50,100,5,1000.0,1000.0,1,231600.0,29000.0,1.0,7.9862068965517246,2.65,5.6000000000000005,7.971428571428572
51,100,30,6000.0,1000.0,1,237600.0,30000.0,6.0,7.92,5.65,5.942857142857143,8.614285714285714
52,100,29,0.0,0.0,0,237600.0,30000.0,,7.92,7.2,8.257142857142856,7.871428571428572
53,100,73,14600.0,1000.0,1,252200.0,31000.0,14.6,8.135483870967741,11.799999999999999,8.85,7.9692307692307685
54,100,32,0.0,0.0,0,252200.0,31000.0,,8.135483870967741,15.733333333333334,9.742857142857144,7.9692307692307685
55,100,74,14800.0,1000.0,1,267000.0,32000.0,14.8,8.34375,15.05,11.200000000000001,8.061538461538463
56,100,89,17800.0,1000.0,1,284800.0,33000.0,17.8,8.63030303030303,15.200000000000001,13.0,7.7
57,100,65,13000.0,1000.0,1,297800.0,34000.0,13.0,8.758823529411766,15.200000000000001,12.966666666666669,7.983333333333334
58,100,33,0.0,0.0,0,297800.0,34000.0,,8.758823529411766,14.200000000000003,12.966666666666669,7.56923076923077
59,100,57,0.0,0.0,0,297800.0,34000.0,,8.758823529411766,10.200000000000001,12.64,7.43076923076923
60,100,59,11800.0,1000.0,1,309600.0,35000.0,11.8,8.845714285714285,8.8,10.933333333333332,7.966666666666666
61,100,29,5800.0,1000.0,1,315400.0,36000.0,5.8,8.761111111111111,8.8,10.16,8.6
